USB Forensics Report
Generated: report_20251006T155437Z.csv
""
Device Name,Device ID,Vendor ID (VID),Product ID (PID),Serial Number,Drive Letter,First Seen (UTC),Last Seen (UTC),Total Connections,Suspicious
,AF74C8C8&0,Generic,Flash,AF74C8C8&0,,2025-10-06T15:54:37.675074,2025-10-06T15:54:37.675074,0,
,03024621082323002741&0,SanDisk,Cruzer,03024621082323002741&0,,2025-10-06T15:54:37.675167,2025-10-06T15:54:37.675167,0,
,0401219164c37e860bd57b90e856da145a732c0b7e2927efcea2ca2ed7ae4db,UNKNOWN,UNKNOWN,0401219164c37e860bd57b90e856da145a732c0b7e2927efcea2ca2ed7ae4db,,2025-10-06T15:54:37.675219,2025-10-06T15:54:37.675219,0,
SanDisk Ultra USB Device,SanDisk Ultra USB Device,,,,,2025-10-06T15:54:37.675842,2025-10-06T15:54:37.675842,2,
